Item,Quantity,Minimum Order Quantity,Unit Price,Total Price,URL,Running Total,,Amount
Antenna,1,1, $ 0.9257 ,$0.93,https://www.lcsc.com/product-detail/C497017.html,$0.93,,1
Capacitor 1nF,1,100, $ 0.0011 ,$0.11,https://www.lcsc.com/product-detail/C106205.html,$1.04,,
Capacitor 33nF,1,100, $ 0.0025 ,$0.25,https://www.lcsc.com/product-detail/C106862.html,$1.29,,
Capacitor 10nF,1,100, $ 0.0015 ,$0.15,https://www.lcsc.com/product-detail/C15195.html,$1.44,,
Capacitor 100 nF,1,100, $ 0.0013 ,$0.13,https://www.lcsc.com/product-detail/C1525.html,$1.57,,
Capacitor 10µF,1,20, $ 0.0204 ,$0.41,https://www.lcsc.com/product-detail/C15850.html,$1.97,,
"Capacitor 2,2nF",1,100, $ 0.0047 ,$0.47,https://www.lcsc.com/product-detail/C126534.html,$2.44,,
Capacitor 22pF,2,20, $ 0.0203 ,$0.41,https://www.lcsc.com/product-detail/C2176129.html,$2.85,,
"Capacitor 4,7pF",1,100, $ 0.0017 ,$0.17,https://www.lcsc.com/product-detail/C189469.html,$3.02,,
"Capacitor 1,5pF",1,1, $ 0.0136 ,$0.01,https://www.lcsc.com/product-detail/C133413.html,$3.03,,
Capacitor 1pF,1,100, $ 0.0026 ,$0.26,https://www.lcsc.com/product-detail/C309455.html,$3.29,,
SMA Connector,1,1, $ 0.4986 ,$0.50,https://www.lcsc.com/product-detail/C496551.html,$3.79,,
Pin Header,1,5, $ 0.0650 ,$0.33,https://www.lcsc.com/product-detail/C7501296.html,$4.12,,
"Inductor 8,2nH",1,10, $ 0.0532 ,$0.53,https://www.lcsc.com/product-detail/C98066.html,$4.65,,
"Inductor 2,7nH",1,10, $ 0.0400 ,$0.40,https://www.lcsc.com/product-detail/C142181.html,$5.05,,
"Inductor 3,9nH",1,1, $ 0.0191 ,$0.02,https://www.lcsc.com/product-detail/C186820.html,$5.07,,
Resistor 22KΩ,1,100, $ 0.0006 ,$0.06,https://www.lcsc.com/product-detail/C2909337.html,$5.13,,
RF IC,1,1, $ 2.4260 ,$2.43,https://www.lcsc.com/product-detail/C8791.html,$7.55,,
Singal Booster,1,1, $ 0.9004 ,$0.90,https://www.lcsc.com/product-detail/C19213.html,$8.45,,
Crytal 16MHz,1,5, $ 0.0790 ,$0.40,https://www.lcsc.com/product-detail/C2836024.html,$8.85,,